"2026年08月14日更新"
"変電所No","変電所名","一次 電圧（kV）","二次 電圧（kV）","台数","設備容量(100%×台数)","運用容量値(MW)","運用容量制約要因","予想潮流値（MW）","当該設備 空容量（MW）","上位系等考慮 空容量（MW）","N-1電制適用可否","N-1電制適用可能量","平常時出力制御の可能性","当該設備 平常時出力制御の可能性がある設備","上位系設備 平常時出力制御の可能性がある設備","備　考"
"Ｏ","新生駒","500","154","4","2850","2850","熱容量","339","-","-","不可　＃３","-","ー","ー","ー","※２、５"
"Ｐ","信貴","500","154","4","2850","2137","熱容量","-1878","-","-","可","713","ー","ー","ー","※３、５"
"Ｑ","御坊","500","77","2","570","313","熱容量","-706","-","-","可","0","有","対象","ー","※５"
"Ｒ","奥多々良木","500","77","1","285","285","熱容量","-160","-","-","不可 ＃１","－","有","ー","対象","※１"
"ＡＡ","伊丹","275","154","3","855","855","熱容量","86","-","-","可","0","有","ー","対象","※５"
"ＡＢ","北大阪","275","154","3","665","570","熱容量","60","-","-","可","95","ー","ー","ー","※２、５"
"ＡＣ","淀川","275","154","3","950","712","熱容量","107","-","-","可","238","ー","ー","ー","※２、５"
"ＡＤ","東大阪","275","154","2","712","427","熱容量","-71","-","-","可","142","有","ー","対象","※２、５"
"ＡＥ","新愛本","275","154","1","190","190","熱容量","0","-","-","不可　＃１","-","有","ー","対象","※１、＊１"
"ＡＦ","西播","275","77","2","570","427","熱容量","-369","-","-","可","200","ー","ー","ー","※５"
"ＡＧ","南赤穂","275","77","1","285","285","熱容量","-325","-","-","不可 ＃１","－","有","対象","対象","※１"
"ＡＨ","姫路","275","77","2","570","427","熱容量","-215","-","-","可","354","有","ー","対象","※５"
"ＡＩ-1","飾磨港","275","77","2","570","427","熱容量","-2","-","-","可","567","有","ー","対象","※５"
"ＡＩ-2","飾磨港","275","77","1","285","285","熱容量","-193","-","-","不可 ＃１","－","有","ー","対象","※１"
"ＡＪ-1","南姫路","275","77","2","570","427","熱容量","-71","-","-","可","498","有","ー","対象","※５"
"ＡＪ-2","南姫路","275","77","1","285","285","熱容量","0","-","-","不可 ＃１","－","有","ー","対象","※１"
"ＡＫ","北摂","275","77","3","855","712","熱容量","-719","-","-","可","135","有","対象","対象","※２、５"
"ＡＬ-1","高砂","275","77","2","570","427","熱容量","7","-","-","可","143","有","ー","対象","※５"
"ＡＬ-2","高砂","275","77","1","427","427","熱容量","0","-","-","不可 ＃１","－","有","ー","対象","※１"
"ＡＭ","新加古川","275","77","2","380","285","熱容量","-260","-","-","可","119","有","ー","対象","※５"
"ＡＮ","東播","275","77","3","855","855","熱容量","-301","-","-","不可 ＃３","－","有","ー","対象","※２、５"
"ＡＯ","西神戸","275","77","3","855","855","熱容量","-55","-","-","可","799","有","ー","対象","※３、５"
"ＡＰ","神戸","275","77","3","855","855","熱容量","-117","-","-","不可 ＃３","－","有","ー","対象","※２、５"
"ＡＱ","新神戸","275","77","3","665","570","熱容量","97","-","-","可","95","有","ー","対象","※３、５"
"ＡＲ","三宮","275","77","2","570","427","熱容量","56","-","-","可","143","有","ー","対象","※５"
"ＡＳ","新綾部","275","77","4","1045","855","熱容量","-596","-","-","不可 ＃３","－","ー","ー","ー","※３、５"
"ＡＴ","伊丹","275","77","3","855","855","熱容量","121","-","-","不可 ＃３","－","有","ー","対象","※２、５"
"ＡＵ","北豊中","275","77","2","570","427","熱容量","73","-","-","可","143","ー","ー","ー","※５"
"ＡＶ","下穂積","275","77","2","570","427","熱容量","36","-","-","可","143","ー","ー","ー","※５"
"ＡＷ","小曽根","275","77","2","570","427","熱容量","49","-","-","可","143","ー","ー","ー","※５"
"ＡＸ","嶺南","275","77","2","380","285","熱容量","-282","-","-","可","97","ー","ー","ー","※５"
"ＡＹ","湖東","275","77","3","760","712","熱容量","-484","-","-","不可 ＃３","－","ー","ー","ー","※４、５"
"ＢＡ","西京都","275","77","2","570","427","熱容量","-42","-","-","可","527","ー","ー","ー","※５"
"ＢＢ","北大阪","275","77","3","665","570","熱容量","60","-","-","可","95","ー","ー","ー","※２、５"
"ＢＣ","淀川","275","77","2","570","427","熱容量","34","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＢＤ","西大阪","275","77","2","570","570","熱容量","-73","-","-","不可 ＃１","－","ー","ー","ー","※１"
"ＢＥ","甲賀","275","77","3","855","855","熱容量","-620","-","-","不可 ＃３","－","有","ー","対象","※２、５"
"ＢＦ","湖南","275","77","4","1045","855","熱容量","-186","-","-","可","858","ー","ー","ー","※３、５"
"ＢＧ","栗東","275","77","3","855","855","熱容量","28","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＢＨ","洛南","275","77","2","570","427","熱容量","-15","-","-","可","554","ー","ー","ー","※５"
"ＢＩ","枚方","275","77","2","570","427","熱容量","7","-","-","可","143","ー","ー","ー","※５"
"ＢＪ","新寝屋川","275","77","2","570","427","熱容量","55","-","-","可","143","有","ー","対象","※５"
"ＢＫ","新生駒","275","77","2","570","427","熱容量","-5","-","-","可","564","有","ー","対象","※５"
"ＢＬ","東大阪","275","77","3","570","570","熱容量","4","-","-","可","0","有","ー","対象","※２、５"
"ＢＭ","南河内","275","77","3","855","855","熱容量","12","-","-","不可 ＃３","－","有","ー","対象","※２、５"
"ＢＮ","泉南","275","77","3","855","855","熱容量","-98","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＢＯ","南大阪","275","77","4","1140","855","熱容量","-82","-","-","可","1057","ー","ー","ー","※５"
"ＢＰ","泉北","275","77","2","570","427","熱容量","24","-","-","可","143","有","ー","対象","※５"
"ＢＱ","北葛城","275","77","2","570","427","熱容量","-368","-","-","不可 ＃３","－","ー","ー","ー","※３、５"
"ＢＲ","紀の川","275","77","2","570","313","熱容量","-268","-","-","可","301","ー","ー","ー","※５"
"ＢＳ","海南港","275","77","2","570","313","熱容量","-329","-","-","可","240","有","対象","ー","※２、５"
"ＢＴ","多奈川","275","77","2","570","427","熱容量","-505","-","-","可","64","有","対象","ー","※５"
"ＢＵ","変電所","275","154","3","－","－","－","-","-","-","－","－","ー","ー","ー","◇"
"ＣＡ","西宮","154","77","2","475","356","熱容量","61","-","-","可","119","有","ー","対象","※５"
"ＣＢ","南大浜","154","77","3","617","570","熱容量","14","-","-","不可 ＃３","－","有","ー","対象","※３、５"
"ＣＣ","酉島","154","77","2","199","199","熱容量","-137","-","-","可","61","有","ー","対象","※５"
"ＣＤ","神崎","154","77","2","475","356","熱容量","38","-","-","可","119","有","ー","対象","※５"
"ＣＥ","御幣島","154","77","2","380","285","熱容量","7","-","-","可","95","有","ー","対象","※５"
"ＣＧ","豊崎","154","77","2","380","285","熱容量","60","-","-","可","95","ー","ー","ー","※５"
"ＣＨ","西三国","154","77","3","712","712","熱容量","88","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＣＩ","新鳥飼","154","77","2","475","356","熱容量","18","-","-","可","119","ー","ー","ー","※５"
"ＣＪ","円町","154","77","2","475","356","熱容量","59","-","-","可","119","ー","ー","ー","※５"
"ＣＫ","島原","154","77","2","475","356","熱容量","102","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＣＬ","荒神口","154","77","2","475","356","熱容量","84","-","-","可","119","ー","ー","ー","※５"
"ＣＭ","横大路","154","77","4","855","855","熱容量","49","-","-","不可 ＃３","－","ー","ー","ー","※３、５"
"ＣＮ","新八幡","154","77","2","475","356","熱容量","-8","-","-","可","466","ー","ー","ー","※５"
"ＣＯ","奈良","154","77","3","712","712","熱容量","0","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＣＰ","蹴上","154","77","2","475","356","熱容量","30","-","-","可","119","ー","ー","ー","※５"
"ＣＱ","古川橋","154","77","3","641","641","熱容量","90","-","-","不可 ＃３","－","ー","ー","ー","※３、５"
"ＣＲ","本町","154","77","3","570","570","熱容量","61","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＣＳ","野江","154","77","3","570","570","熱容量","81","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＣＴ","空心町","154","77","2","380","285","熱容量","39","-","-","可","95","ー","ー","ー","※５"
"ＣＵ","猪飼野","154","77","2","475","356","熱容量","43","-","-","可","119","ー","ー","ー","※５"
"ＣＶ","東意岐部","154","77","2","475","356","熱容量","26","-","-","可","119","ー","ー","ー","※５"
"ＣＷ","堺港","154","77","5","950","760","熱容量","-22","-","-","可","927","有","ー","対象","※４"
"ＣＸ","高島","154","77","2","190","142","熱容量","-102","-","-","可","87","ー","ー","ー","※５"
"ＣＹ","高津","154","77","2","475","356","熱容量","56","-","-","可","119","有","ー","対象","※５"
"ＣＺ","新奈良","154","77","2","380","380","熱容量","-75","-","-","不可 ＃３","－","有","ー","対象","※３、５"
"ＤＡ","百済","154","77","2","475","356","熱容量","63","-","-","不可 ＃３","－","ー","ー","ー","※５"
"ＤＢ","本田","154","77","2","223","223","熱容量","89","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＤＣ","矢田","154","77","2","475","356","熱容量","39","-","-","可","119","ー","ー","ー","※５"
"ＤＤ","八尾","154","77","3","570","570","熱容量","39","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＤＥ","中河内","154","77","2","475","356","熱容量","24","-","-","可","119","ー","ー","ー","※５"
"ＤＦ","長曽根","154","77","3","760","570","熱容量","19","-","-","可","190","ー","ー","ー","※２、５"
"ＤＧ","松屋","154","77","2","475","356","熱容量","16","-","-","可","119","有","ー","対象","※５"
"ＤＨ","敷津","154","77","3","712","712","熱容量","-94","-","-","不可 ＃３","－","有","ー","対象","※２、５"
"ＤＩ","萩之茶屋","154","77","2","475","356","熱容量","84","-","-","可","119","有","ー","対象","※５"
"ＤＪ","新宮","154","77","3","256","125","熱容量","-44","-","-","可","211","有","ー","対象","※２、５"
"ＤＫ","向日町","154","77","1","237","237","熱容量","22","-","-","不可 ＃１","－","ー","ー","ー","※１"
"ＤＬ","勢野","154","77","1","237","237","熱容量","-8","-","-","不可 ＃１","－","ー","ー","ー","※１"
"ＤＭ","堺浜","154","77","2","475","356","熱容量","-9","-","-","可","465","有","ー","対象","※５"
"ＤＯ","生瀬","154","22","2","57","42","熱容量","-21","-","-","可","35","有","ー","対象","※５"
"ＤＱ","新曽根崎","154","22","5","665","522","熱容量","89","-","-","可","143","ー","ー","ー","※４、５"
"ＤＲ","本町","154","22","3","285","209","熱容量","44","-","-","可","76","ー","ー","ー","※２、５"
"ＤＳ","城見","154","22","2","85","47","熱容量","13","-","-","可","38","ー","ー","ー","※５"
"ＤＵ","テクノポート","154","22","3","171","171","熱容量","2","-","-","不可 ＃３","－","ー","ー","ー","※２、５"
"ＤＶ","城見","154","6.6","2","28","14","熱容量","3","-","-","不可 ＃２","－","ー","ー","ー","※１"
"ＤＷ","上本町","154","6.6","2","57","28","熱容量","0","-","-","不可 ＃２","－","ー","ー","ー","※１"
"ＥＡ","西淡","187","77","2","380","285","熱容量","-209","-","-","可","170","－","ー","－","※２、５"
"海Ａ","須原","154","77","2","83","83","熱容量","-68","-","-","不可 ＃１","－","有","ー","対象","※１"
"海Ｂ","橋場","77","11","1","10","10","熱容量","-10","-","-","不可 ＃１","－","有","対象","対象","※１"
"海Ｃ","妻籠","77","11","1","6","6","熱容量","-5","-","-","不可 ＃１","－","有","ー","対象","※１"
"海Ｄ","落合","154","77","1","57","57","熱容量","-51","-","-","不可 ＃１","－","有","ー","対象","※１"
"海Ｅ","丸山","275","154","2","439","439","熱容量","-442","-","-","不可 ＃１","－","有","対象","対象","※１"
"海Ｆ","兼山","154","77","1","52","52","熱容量","-43","-","-","不可 ＃１","－","有","ー","対象","※１"
"陸A","新柳河原","154","11","1","43","43","熱容量","-49","-","-","不可 ＃１","－","有","対象","ー","※１"
"陸Ｂ","小牧","154","66","1","38","38","熱容量","-36","-","-","不可 ＃１","－","有","ー","対象","※１"
"陸Ｃ","利賀二","154","77","1","49","49","熱容量","-47","-","-","不可 ＃１","－","有","ー","対象","※１"
"陸Ｄ","成出","275","11","1","152","152","熱容量","-183","-","-","不可 ＃１","－","有","対象","ー","※１"
"陸Ｅ","小原","154","11","1","50","50","熱容量","-47","-","-","不可 ＃１","－","ー","ー","ー","※１"
"陸Ｇ","大牧","66","11","1","16","16","熱容量","-15","-","-","不可 ＃１","－","有","ー","対象","※１"
"陸Ｊ","角川","154","11","2","29","29","熱容量","-28","-","-","不可 ＃１","－","有","ー","対象","※１"
"陸Ｋ","打保","154","11","2","28","28","熱容量","-25","-","-","不可 ＃１","－","ー","ー","ー","※１"
"","","","","","","","","","","","","","","","",""
"＊１　当該系統は、系統安定度等により制約がありますので、連系可能量については、別途詳細検討が必要となります。","","","","","","","","","","","","","","","",""
