"2026年08月14日更新"
"変電所No","変電所名","一次 電圧（kV）","二次 電圧（kV）","台数","設備容量（100%×台数）","運用容量値（MW）","運用容量制約要因","予想潮流","当該設備 空容量（MW）","上位系等考慮 空容量（MW）","N-1電制適用可否","N-1電制適用可能量","平常時出力制御の可能性","当該設備 平常時出力制御の可能性がある設備","上位系設備 平常時出力制御の可能性がある設備","備　考"
"北CL","吹田","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CL","吹田","77","22","2","57","57","熱容量","4","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北CM","野崎","77","6.6","2","57","57","熱容量","－","28","0","不可 ＃２","－","有","ー","対象","※１"
"北CN","大東","77","6.6","3","76","76","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北CN","大東","77","22","2","57","57","熱容量","-4","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北CO","中垣内","77","6.6","2","36","36","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北CP","豊里町","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CQ","豊津","77","6.6","3","76","76","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CQ","豊津","77","22","1","28","28","熱容量","1","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北CR","浜","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CS","南金田","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CT","豊南","77","6.6","2","19","19","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北CU","西三国","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CV","淡路町","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CW","東淀川","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CW","東淀川","77","22","2","57","57","熱容量","9","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北CX","木川","77","6.6","3","85","85","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北CY","三国","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CY","三国","77","22","3","85","85","熱容量","5","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北CZ","豊崎","77","22","2","114","114","熱容量","15","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北DA","岡町","77","6.6","3","55","55","熱容量","－","17","0","不可 ＃２","－","ー","ー","ー","※１"
"北DB","服部","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北DC","庄内","77","6.6","3","76","76","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北DD","三津屋","77","6.6","3","74","74","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北DD","三津屋","77","22","2","57","57","熱容量","-1","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北DE","十三","77","6.6","3","85","85","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DF","長柄","77","6.6","3","76","76","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北DG","西扇町","77","6.6","3","64","64","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北DH","北野","77","6.6","3","85","85","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DI","大仁","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北DJ","福島","77","6.6","3","47","47","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北DK","曽根崎","77","6.6","3","74","74","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北DL","扇町","77","6.6","2","50","50","熱容量","－","21","21","不可 ＃２","－","ー","ー","ー","※１"
"北DM","空心町","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DN","天満橋","77","6.6","3","76","76","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北DO","北浜","77","6.6","3","85","85","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DP","船場","77","6.6","3","64","64","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北DQ","久宝寺","77","6.6","3","85","85","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DR","亀甲町","77","6.6","2","54","54","熱容量","－","26","26","不可 ＃２","－","ー","ー","ー","※１"
"北DS","兼平町","77","22","2","57","31","熱容量","4","ー","ー","可","26","ー","ー","ー","※３"
"北DT","大開町","77","6.6","3","58","58","熱容量","－","13","0","不可 ＃２","－","有","ー","対象","※１"
"北DT","大開町","77","22","2","57","31","熱容量","6","ー","ー","可","26","有","ー","対象","※３"
"北DU","江戸堀","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DV","中之島","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DV","中之島","77","22","3","128","94","熱容量","13","ー","ー","可","34","ー","ー","ー","※２、３"
"北DW","備後町","77","6.6","2","54","54","熱容量","－","26","26","不可 ＃２","－","ー","ー","ー","※１"
"北DX","農人橋","77","6.6","3","85","85","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北DY","真田山","77","6.6","3","85","85","熱容量","－","28","0","不可 ＃２","－","有","ー","対象","※１"
"北DZ","信濃橋","77","6.6","3","85","85","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北EA","立売堀","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EB","九条","77","22","2","85","85","熱容量","7","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北EC","波除","77","6.6","2","36","36","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北ED","四貫島","77","6.6","2","36","36","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北EE","北港","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北EF","舞洲","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北EF","舞洲","77","22","1","42","42","熱容量","-3","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北EG","市岡","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北EG","市岡","77","22","2","57","57","熱容量","1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北EH","本田","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EI","築港","77","6.6","3","66","66","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北EJ","泉尾","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北EK","鶴町","77","6.6","2","36","36","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北EL","南恩加島","77","6.6","3","47","47","熱容量","－","9","0","不可 ＃２","－","有","ー","対象","※１"
"北EL","南恩加島","77","22","2","57","57","熱容量","0","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北EM","赤川","77","6.6","2","34","34","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北EN","生江町","77","6.6","3","61","61","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北EO","森小路","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EP","関目","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EQ","放出","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北ER","酉島","77","22","2","85","47","熱容量","8","ー","ー","可","38","ー","ー","ー","※３"
"北ES","都島","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北ET","野江","77","6.6","3","76","76","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北ET","野江","77","22","3","128","94","熱容量","12","ー","ー","可","34","ー","ー","ー","※３"
"北EV","新喜島","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EW","諏訪","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EX","中本","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EY","鶴橋","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北EZ","中川町","77","6.6","3","57","57","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北FA","今津町","77","6.6","3","64","64","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北FB","猪飼野","77","6.6","3","55","55","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北FB","猪飼野","77","22","2","57","31","熱容量","4","ー","ー","可","26","ー","ー","ー","※３"
"北FC","今里","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北FD","御幣島","77","6.6","3","60","60","熱容量","－","13","0","不可 ＃２","－","有","ー","対象","※１"
"北FD","御幣島","77","22","2","57","31","熱容量","0","ー","ー","可","26","有","ー","対象","※３"
"北FE","佃","77","6.6","2","36","36","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北FE","佃","77","22","2","57","57","熱容量","-1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北FF","姫島","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北FG","福","77","6.6","2","47","47","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北FG","福","77","22","2","57","57","熱容量","1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北FH","山辺","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"北FI","西能勢","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"北FJ","稲地","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"北FK","倉垣","33","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北FK","倉垣","33","22","1","14","14","熱容量","ー","13","2","不可 ＃１","－","ー","ー","ー","※１"
"北FL","和田","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北FM","宿野","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"北FN","田尻","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北FO","地黄","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"北FP","西光風","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北FQ","山の手","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北FR","余野","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"北FS","止々呂美","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北FT","森町","22","6.6","1","5","5","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北FV","希望ヶ丘","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"北FW","木代南","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"北FX","間谷","22","6.6","1","5","5","熱容量","ー","5","2","不可 ＃２","－","ー","ー","ー","※１"
"北FY","彩都","22","6.6","1","5","5","熱容量","ー","5","5","不可 ＃２","－","ー","ー","ー","※１"
"北FZ","穂谷","22","6.6","1","5","5","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"北GA","尊延寺","22","6.6","1","5","5","熱容量","ー","4","4","不可 ＃２","－","ー","ー","ー","※１"
"北GB","竜間","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GC","生駒","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GD","中島西","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GE","中島東","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GF","中島北","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GG","中島南","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GH","常吉","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GI","常吉東","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GJ","常吉西","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GK","彩都","77","6.6","2","19","19","熱容量","－","8","8","不可 ＃２","－","ー","ー","ー","※１"
"北GK","彩都","77","22","2","28","15","熱容量","1","ー","ー","可","13","ー","ー","ー","※１"
"北GL","いずま谷","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"北GL","新大岩","77","6.6","3","52","52","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北GL","新大岩","77","22","2","57","31","熱容量","0","ー","ー","可","26","ー","ー","ー","※１"
"北GM","いずま谷２号","22","6.6","1","5","5","熱容量","ー","4","0","不可 ＃２","－","ー","ー","ー","※１"
"北GN","夢洲","77","6.6","1","19","19","熱容量","－","19","0","不可 ＃２","－","ー","ー","ー","※１"
"南A","加納","77","6.6","2","38","38","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"南B","鴻池","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"南D","石切","77","6.6","3","53","53","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"南E","河内","77","6.6","3","66","66","熱容量","－","18","0","不可 ＃２","－","有","ー","対象","※１"
"南F","稲田","77","6.6","3","55","55","熱容量","－","17","17","不可 ＃２","－","有","ー","対象","※１"
"南G","春宮","77","6.6","3","69","69","熱容量","－","18","18","不可 ＃２","－","有","ー","対象","※１"
"南H","三休橋","77","6.6","3","85","85","熱容量","－","85","72","不可 ＃２","－","有","ー","対象","※１"
"南I","道頓堀","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"南I","道頓堀","77","22","2","57","57","熱容量","1","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"南J","西堤","77","6.6","3","66","66","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"南K","高井田","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南L","下島","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"南M","荒本","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"南N","枚岡","77","6.6","2","57","57","熱容量","－","28","0","不可 ＃２","－","有","ー","対象","※１"
"南N","枚岡","77","22","2","28","28","熱容量","0","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"南O","意岐部","77","6.6","3","42","42","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"南O","意岐部","77","22","3","71","71","熱容量","1","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"南P","千日前","77","6.6","3","85","85","熱容量","－","28","0","不可 ＃２","－","有","ー","対象","※１"
"南Ｑ","高津","77","6.6","3","74","74","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"南Ｑ","高津","77","22","2","85","85","熱容量","6","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"南R","永和","77","6.6","3","64","64","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
